# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
abacus	счёты
abatement	уменьшение
abatements	уменьшения
abattoir	бойня
abattoirs	бойни
abbey	аббатство
abbeys	аббатства
abbot	настоятель
abbots	настоятели
abbreviation	аббревиатура
abbreviations	аббревиатуры
abc	аз
abc-book	азбука
abcs	азы
abdomen	живот
abdomens	животы
abdominal	брюшной
abduction	похищение
abductions	похищения
abilities	способности
ability	способность
ablation	удаление
ablations	удаления
able-bodied	трудоспособный
ably	талантливо
abnormal	ненормальный
abnormalities	уродства
abnormality	уродство
aboard	борт
aboards	борта
abolition	отмена
abolitions	отмены
abominable	отвратительный
aboriginal	абориген
aboriginals	аборигены
abortion	аборт
abortions	аборты
abrasion	царапина
abrasions	царапины
abroad	граница
abroads	границы
abrupt	крутой
abruptly	резко
absence	пропуск
absences	пропуска
absent-minded	рассеянный
absolute	абсолютный
absolutely	абсолютно
absolution	прощение
absolutions	прощения
absorption	поглощение
absorptions	поглощения
abstention	воздержание
abstentions	воздержания
abstract	реферат
abstraction	абстракция
abstractions	абстракции
abstracts	рефераты
absurd	нелепо
absurdities	абсурды
absurdity	абсурд
absurdly	нелепо
abundance	обилие
abundances	обилия
abundant	хлебный
abyss	бездна
abysses	бездны
academic	академический
academies	академии
academy	академия
acceleration	ускорение
accelerations	ускорения
accelerator	ускоритель
accelerators	ускорители
accent	акцент
accents	акценты
acceptable	приемлемый
acceptance	принятие
acceptances	принятия
access	доступ
accesses	доступы
accessibilities	доступности
accessibility	доступность
accessible	доступный
accessories	арматура
accessorieses	арматуры
accessory	второстепенный
accident	авария
accidentally	случайно
accidents	аварии
accommodation	размещение
accommodations	размещения
accompaniment	сопровождение
accompaniments	сопровождения
accomplice	участник
accomplices	участники
accomplishment	совершение
accomplishments	совершения
accomplishmentses	знания
accord	согласие
accordance	соответствие
accordances	соответствия
accordingly	соответственно
accordion	аккордеон
accordions	аккордеоны
accords	согласия
account	отчёт
accountable	отчётный
accountant	бухгалтер
accountants	бухгалтеры
accounts	отчёты
accretion	прирост
accretions	приросты
accumulation	накопление
accumulations	накопления
accumulator	аккумулятор
accumulators	аккумуляторы
accuracies	точности
accuracy	точность
accurate	точный
accurately	чётко
accursed	проклятый
accusation	обвинение
accusations	обвинения
accused	подсудимый
accuseds	подсудимые
accuser	обвинитель
accusers	обвинители
ace	ас
aces	асы
achievement	достижение
achievements	достижения
achievementses	завоевания
acid	кислота
acidities	кислоты
acidity	кислота
acids	кислоты
acknowledgement	признание
acknowledgements	признания
acme	вершина
acmes	вершины
acoustic	акустический
acquaintance	знакомство
acquaintances	знакомства
acquaintanceses	знакомства
acquisition	приобретение
acquisitions	приобретения
acquittal	оправдание
acquittals	оправдания
acre	акр
acres	акры
action	действие
actions	действия
active	активный
actively	активно
activities	деятельности
activitieses	действия
activity	деятельность
actor	актёр
actors	актёры
actress	актриса
actresses	актрисы
