# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
(абсолютною)	absolute
(абстрактною)	abstract
(абсурдною)	absurd
(аварийною)	repair
(авиационною)	aviation
(австралийскою)	Australian
(австрийскою)	Austrian
(автоматическою)	automatic
(автономною)	autonomous
(агрессивною)	aggressive
(адекватною)	adequate
(административною)	administrative
(адскою)	hellish
(азербайджанскою)	Azerbaijan
(азиатскою)	Asian
(аккуратною)	exact
(активною)	active
(актуальною)	relevant
(акустическою)	acoustic
(алкогольною)	alcoholic
(алою)	vermilion
(алтайскою)	Altai
(альтернативною)	alternative
(амбициозною)	ambitious
(американскою)	American
(аналитическою)	analytic
(аналогичною)	analogous
(английскою)	English
(англо-американскою)	Anglo-American
(аномальною)	anomalous
(анонимною)	anonymous
(античною)	ancient
(арабскою)	Arab
(аргентинскою)	argentine
(арктическою)	arctic
(армянскою)	Armenian
(археологическою)	archaeological
(архитектурною)	architectural
(атмосферною)	atmospheric
(атомною)	atomic
(афганскою)	Afghan
(африканскою)	African
(банальною)	banal
(бедною)	poor
(бездомною)	homeless
(безопасною)	safe
(безработною)	unemployed
(безразличною)	indifferent
(безымянною)	nameless
(бельгийскою)	Belgian
(беременною)	pregnant
(бесконечною)	endless
(бесплатною)	free
(бесполезною)	useless
(бессмертною)	immortal
(бесстрашною)	fearless
(бетонною)	concrete
(бешеною)	crazy
(библейскою)	biblical
(биологическою)	biological
(благодарною)	grateful
(благоприятною)	favourable
(благородною)	noble
(благою)	good
(бледною)	pale
(блестящею)	shining
(близкою)	near
(боевою)	fighting
(болезненною)	painful
(большею)	greater
(бородатою)	bearded
(бразильскою)	Brazilian
(братскою)	brotherly
(брачною)	marriage
(британскою)	British
(брюшною)	abdominal
(буквальною)	literal
(бывшею)	former
(былою)	former
(быстрою)	fast
(бюджетною)	budgetary
(важною)	important
(ведущею)	chief
(вежливою)	polite
(великолепною)	splendid
(великою)	great
(венгерскою)	Hungarian
(верною)	true
(вероятною)	probable
(верхнею)	upper
(верховною)	supreme
(веселою)	merry
(вечернею)	evening
(вечною)	eternal
(вещественною)	material
(взаимною)	mutual
(видимою)	visible
(видною)	visible
(видовою)	specific
(византийскою)	Byzantine
(визуальною)	visual
(виноватою)	guilty
(виновною)	guilty
(вирусною)	viral
(вкусною)	tasty
(влажною)	humid
(властною)	imperious
(влюбленною)	in love
(внезапною)	sudden
(внешнеполитическою)	foreign-policy
(внешнею)	outward
(внимательною)	attentive
(внутреннею)	inner
(водною)	aqueous
(военною)	military
(воздушною)	air
(возлюбленною)	beloved
(возможною)	possible
(волшебною)	magic
(вольною)	free
(воспитанною)	well brought up
(восточною)	east
(восхитительною)	delightful
(восьмою)	eighth
(враждебною)	hostile
(вредною)	mean
(всемирною)	world
(всемогущею)	omnipotent
(всеобщею)	universal
(вспомогательною)	auxiliary
(встречною)	oncoming
(вчерашнею)	yesterday's
(выгодною)	advantageous
(вынужденною)	forced
(выпуклою)	salient
(высокою)	high
(выходною)	exit
(вышеуказанною)	foregoing
(вьетнамскою)	Vietnamese
(газовою)	gas
(генеральною)	general
(гениальною)	of genius
(геологическою)	geological
(германскою)	Germanic
(гибкою)	flexible
(гигантскою)	gigantic
(главною)	main
(гладкою)	smooth
(глобальною)	global
(глубокою)	deep
(глухою)	deaf
(гнилою)	rotten
(говорящею)	speaking
(годовою)	annual
(головною)	head
(голою)	naked
(голубою)	blue
(гордою)	proud
(горизонтальною)	horizontal
(горною)	mountainous
(городскою)	town
(государственною)	state
(готовою)	ready
(гражданскою)	civil
(греческою)	Greek
(грозною)	terrible
(громадною)	huge
(громкою)	loud
(грубою)	rude
(грудною)	pectoral
(грузинскою)	Georgian
(групповою)	group
(грустною)	sad
(грязною)	dirty
(губною)	labial
(густою)	thick
(дальнейшею)	further
(дальнею)	distant
(датскою)	Danish
(двадцатою)	twentieth
(двойною)	double
(двоюродною)	first cousin
(двустороннею)	double-sided
(девятою)	ninth
(действующею)	active
(декоративною)	decorative
(деловою)	business
(демократическою)	democratic
(деревенскою)	rural
(деревянною)	wooden
(десятою)	tenth
(детскою)	childish
(дешевою)	cheap
(дикою)	wild
(длинною)	long
(длительною)	long
(дневною)	day
(добросовестною)	honest
(довольною)	satisfied
(дождевою)	pluvial
(документальною)	documentary
(долгою)	long
(должною)	must
(дополнительною)	additional
(допустимою)	permissible
(дорогою)	expensive
(дорожною)	road
(достаточною)	sufficient
(достоверною)	valid
(достойною)	worthy
(доступною)	accessible
(драгоценною)	precious
(древесною)	arboreal
(древнерусскою)	old Russian
(древнею)	ancient
(дружескою)	friendly
(дружественною)	friendly
(дружною)	friendly
(дурацкою)	stupid
(дурною)	bad
(духовною)	spiritual
(душевною)	sincere
(европейскою)	European
(единичною)	single
(единою)	united
(единственною)	only
(естественною)	natural
(жадною)	greedy
(жалкою)	pitiful
(жареною)	fried
(желанною)	desired
(железнодорожною)	railway
(железною)	iron
(желтою)	yellow
(женатою)	married
(жестокою)	brutal
(животною)	animal
(жизненною)	vital
(жирною)	fat
(жуткою)	terrible
(забавною)	amusing
(заботливою)	careful
(заброшенною)	derelict
(забытою)	lost
(зависимою)	dependent
(загадочною)	mysterious
(заднею)	back
(заключенною)	convicted
(законною)	legal
(закрытою)	closed
(заманчивою)	tempting
(заметною)	noticeable
(замечательною)	remarkable
(замужнею)	married for girls
(занятою)	busy
(западною)	west
(затруднительною)	difficult
(защитною)	protective
(звездною)	star
(звонкою)	ringing
(здешнею)	of this place
(здоровою)	healthy
(земляною)	earthen
(земною)	earthly
(зенитною)	anti-aircraft
(зимнею)	wintry
(злобною)	spiteful
(злою)	wicked
(знаменитою)	famous
(значительною)	considerable
(зрительною)	visual
(зубною)	dental
(идеальною)	ideal
(известною)	well-known
(излишнею)	superfluous
(изначальною)	primordial
(израильскою)	Israeli
(изумительною)	amazing
(изысканною)	refined
(именною)	nominal
(имперскою)	imperial
(индивидуальною)	individual
(индийскою)	Indian
(индустриальною)	industrial
(интеллектуальною)	intellectual
(интеллигентною)	cultured
(интересною)	interesting
(интернациональною)	international
(интимною)	intimate
(иракскою)	Iraqi
(иранскою)	Iranian
(ирландскою)	Irish
(искреннею)	sincere
(искусною)	skilful
(искусственною)	artificial
(испанскою)	Spanish
(исполнительною)	executive
(истинною)	true
(историческою)	historical
(исходною)	initial
(итальянскою)	Italian
(кавказскою)	caucasian
(казахскою)	Kazakh
(каменною)	lifeless
(канадскою)	Canadian
(карельскою)	Karelian
(качественною)	qualitative
(квадратною)	square
(квалифицированною)	skilled
(киевскою)	Kyiv
(киргизскою)	Kirghiz
(кислою)	sour
(китайскою)	Chinese
(классическою)	classic
(классною)	cool
(клевою)	cool
(клиническою)	clinical
(коварною)	insidious
(кожаною)	leather
(количественною)	quantitative
(колониальною)	colonial
(колоссальною)	colossal
(колючею)	prickly
(комедийною)	comic
(коммерческою)	commercial
(коммунистическою)	communist
(комнатною)	indoor
(конечною)	final
(конкретною)	specific
(контрольною)	test
(корейскою)	Korean
(коренною)	native
(коричневою)	brown
(королевскою)	royal
(короткою)	short
(корыстною)	self-serving
(косвенною)	indirect
(космическою)	cosmic
(крайнею)	extreme
(красивою)	beautiful
(красною)	red
(краткою)	short
(кредитною)	credit
(крестьянскою)	peasantish
(кривою)	crooked
(криминальною)	criminal
(крохотною)	tiny
(крошечною)	tiny
(круглосуточною)	twenty-four-hour
(круглою)	round
(крупнейшею)	largest
(крупною)	large
(крутою)	cool
(крылатою)	winged
(крымскою)	Crimean
(кубинскою)	Cuban
(культурною)	cultural
(лазерною)	laser
(лазурною)	azure
(ласковою)	affectionate
(латвийскою)	Latvian
(латиноамериканскою)	Latin-American
(латинскою)	Latin
(легальною)	legal
(ледяною)	ice
(ленивою)	lazy
(ленинскою)	Lenin
(лесною)	forest
(летательною)	flying
(летнею)	summery
(летучею)	flying
(лживою)	lying
(лингвистическою)	linguistic
(линейною)	linear
(литературною)	literary
(лихою)	evil
(личною)	personal
(лишенною)	void
(лишнею)	superfluous
(ловкою)	adroit
(ложною)	false
(лошадиною)	equine
(лучшею)	better
(любезною)	amiable
(любительскою)	amateur
(любовною)	love
(любопытною)	curious
(лютою)	fierce
(майскою)	May-Day
(македонскою)	Macedonian
(максимальною)	maximum
(малейшею)	the least
(маленькою)	small
(малою)	small
(мансийскою)	Mansi
(массовою)	mass
(материальною)	material
(материнскою)	maternal
(мгновенною)	instantaneous
(медицинскою)	medical
(медленною)	slow
(медною)	copper
(международною)	international
(мексиканскою)	Mexican
(мелкою)	small
(меньшею)	lesser
(мерзкою)	vile
(месячною)	monthly
(металлическою)	metallic
(механическою)	mechanical
(милою)	cute
(миниатюрною)	tiny
(минимальною)	minimum
(мирною)	peaceful
(мировою)	first-rate
(млекопитающею)	mammal
(многолетнею)	of many years
(многочисленною)	numerous
(мобильною)	mobile
(могучею)	mighty
(могущественною)	powerful
(модною)	fashionable
(молочною)	milky
(молчаливою)	taciturn
(монгольскою)	Mongolian
(моральною)	moral
(морскою)	marine
(московскою)	Moscow
(мочевою)	urinary
(мощною)	powerful
(мрачною)	gloomy
(мудрою)	wise
(музыкальною)	musical
(муниципальною)	municipal
(мусульманскою)	Mohammedan
(мучительною)	poignant
(мышечною)	muscular
(мягкою)	soft
(наглою)	impudent
(наглядною)	graphic
(нагорною)	upland
(надежною)	reliable
(наивною)	naive
(наилучшею)	best
(народною)	popular
(наружною)	external
(насильственною)	forcible
(настольною)	table
(настоящею)	real
(натуральною)	natural
(научною)	scientific
(националистическою)	nationalistic
(национальною)	national
(нацистскою)	Nazi
(небесною)	celestial
(небольшою)	small
(неверною)	incorrect
(невидимою)	invisible
(невозможною)	impossible
(невыносимою)	intolerable
(негативною)	negative
(недавнею)	recent
(недельною)	weekly
(недовольною)	dissatisfied
(нежелательною)	undesirable
(нежною)	tender
(независимою)	independent
(незначительною)	insignificant
(неизбежною)	inevitable
(неизменною)	invariable
(нелегальною)	illegal
(нелепою)	absurd
(неловкою)	embarrassing
(немецкою)	German
(ненецкою)	Nenets
(ненормальною)	abnormal
(ненужною)	unnecessary
(необходимою)	necessary
(необыкновенною)	unusual
(необычною)	unusual
(неожиданною)	unexpected
(неопределенною)	uncertain
(неотложною)	pressing
(неплохою)	not bad
(непобедимою)	invincible
(неподходящою)	unsuitable
(неполною)	incomplete
(непонятною)	incomprehensible
(неправильною)	irregular
(непрерывною)	continuous
(неприемлемою)	unacceptable
(неприятною)	unpleasant
(нервною)	nervous
(несогласною)	dissenting
(неспособною)	incapable
(несправедливою)	unjust
(несчастною)	unhappy
(нефтяною)	oil
(нехорошею)	bad
(неясною)	vague
(нижнею)	lower
(низкою)	low
(ничтожною)	insignificant
(новенькою)	new
(норвежскою)	Norwegian
(нормальною)	normal
(нормативною)	normative
(носовою)	nasal
(ночною)	night
(нравственною)	moral
(нужною)	necessary
(нулевою)	zero
(нынешнею)	present
(обвинительною)	accusatory
(обвиняемою)	the accused
(обезболивающею)	anaesthetic
(обидною)	offensive
(обильною)	abundant
(образованною)	educated
(образцовою)	model
(обратною)	opposite
(обширною)	spacious
(объединенною)	united
(объективною)	objective
(обыкновенною)	habitual
(обычною)	usual
(обязанною)	obliged
(обязательною)	obligatory
(овальною)	oval
(овощною)	vegetable
(огненною)	flame-coloured
(огромною)	enormous
(одетою)	dressed
(одинаковою)	identical
(одинокою)	solitary
(однополою)	unisexual
(одностороннею)	one-sided
(озабоченною)	preoccupied
(окружающею)	surrounding
(октябрьскою)	October
(опасною)	dangerous
(оперативною)	efficient
(определенною)	specific
(оптимальною)	optimum
(опытною)	experimental
(оранжевою)	orange
(оригинальною)	original
(осведомленною)	versed
(осеннею)	autumnal
(особенною)	special
(особою)	special
(осторожною)	careful
(острою)	sharp
(отважною)	courageous
(ответственною)	responsible
(отвратительною)	disgusting
(отдельною)	separated
(отечественною)	native
(откровенною)	candid
(открытою)	open
(отличною)	excellent
(относительною)	relative
(отрицательною)	negative
(отчаянною)	desperate
(официальною)	official
(очаровательною)	charming
(очевидною)	obvious
(очередною)	next
(ошибочною)	erroneous
(памятною)	memorable
(параллельною)	parallel
(партийною)	party
(пассивною)	passive
(патриотическою)	patriotic
(педагогическою)	pedagogic
(передвижною)	movable
(переднею)	front
(передовою)	foremost
(переменною)	variable
(переносною)	portable
(переходною)	transitional
(периодическою)	periodic
(персидскою)	Persian
(персональною)	personal
(печальною)	sad
(печатною)	printing
(пешею)	pedestrian
(письменною)	writing
(платною)	requiring payment
(пленарною)	plenary
(плоскою)	flat
(плотною)	compact
(побочною)	side
(поверхностною)	surface
(повторною)	repeated
(повышенною)	heightened
(подземною)	underground
(подлинною)	authentic
(подобною)	similar
(подозрительною)	suspicious
(подсобною)	subsidiary
(подходящею)	suitable
(пожарною)	fire
(пожилою)	elderly
(позднею)	late
(позитивною)	positive
(покойною)	quiet
(полевою)	field
(полезною)	useful
(политическою)	political
(полицейскою)	police
(полноправною)	enjoying full rights
(полною)	full
(половою)	floor
(положенною)	fixed
(положительною)	positive
(полосатою)	striped
(польскою)	polish
(понятною)	intelligible
(популярною)	popular
(поразительною)	striking
(португальскою)	Portuguese
(последнею)	last
(последующею)	following
(постепенною)	gradual
(постоянною)	constant
(потрясающею)	staggering
(потрясною)	awesome
(похожею)	similar
(почтенною)	honourable
(почтовою)	post
(правдивою)	truthful
(правильною)	correct
(правовою)	legal
(правою)	right
(праздничною)	holiday
(практическою)	practical
(превосходною)	excellent
(предварительною)	preliminary
(предполагаемою)	supposed
(предпоследнею)	last but one
(предшествующею)	previous
(предыдущею)	previous
(прерванною)	interrupted
(преступною)	criminal
(приближенною)	approximate
(привлекательною)	attractive
(привычною)	habitual
(пригодною)	fit
(приемлемою)	acceptable
(приемною)	receiving
(прикольною)	cool
(прилегающею)	close-fitting
(приличною)	decent
(примерною)	approximate
(примитивною)	primitive
(приморскою)	seaside
(принятою)	accepted
(природною)	natural
(прискорбною)	sorrowful
(присутствующею)	present
(приятною)	nice
(программною)	program
(прогрессивною)	progressive
(проезжею)	traveller
(прозрачною)	transparent
(производственнею)	industrial
(произвольною)	arbitrary
(промышленною)	industrial
(просторною)	spacious
(простою)	simple
(противною)	disgusting
(противовоздушною)	anti-aircraft
(противопожарною)	fire-prevention
(противоположною)	opposite
(противоречивою)	contradictory
(противотанковою)	anti-tank
(профессиональною)	professional
(прочею)	other
(прочною)	durable
(прошедшею)	past
(прямою)	straight
(психиатрическою)	psychiatric
(психическою)	mental
(психологическою)	psychologic
(публичною)	public
(пышною)	splendid
(пьяною)	drunk
(пятою)	fifth
(рабочею)	working
(равнодушною)	indifferent
(равною)	equal
(радостною)	glad
(разбитою)	broken
(развитою)	advanced
(раздельною)	separate
(различною)	various
(разнообразною)	various
(разною)	different
(разрушенною)	ravaged
(разумною)	reasonable
(райскою)	paradisiacal
(ракетною)	rocket
(раннею)	early
(расовою)	racial
(рассеянною)	absent-minded
(расстроенною)	sad
(реактивною)	reactive
(реальною)	real
(революционною)	revolutionary
(региональною)	regional
(редкою)	rare
(резиновою)	rubber
(резкою)	sharp
(рекламною)	publicity
(религиозною)	religious
(решительною)	decisive
(римскою)	Roman
(ровною)	flat
(родною)	native
(родственною)	kindred
(розовою)	pink
(роскошною)	luxurious
(рукописною)	manuscript
(рыночною)	market
(самостоятельною)	independent
(саудовскою)	saudi
(сахарною)	sugary
(свежею)	fresh
(сверхъестественною)	supernatural
(светлою)	light
(светскою)	secular
(светящеюся)	luminous
(свободною)	free
(связанною)	connected
(святою)	holy
(священною)	sacred
(северною)	north
(сегодняшнею)	today
(седою)	grey
(седьмою)	seventh
(секретною)	secret
(сексуальною)	sexual
(сельскохозяйственною)	agricultural
(сельскою)	rural
(семейною)	domestic
(сербскою)	Serbian
(сердечною)	heart
(серою)	grey
(сибирскою)	Siberian
(сильною)	strong
(симпатичною)	likable
(сирою)	orphaned
(склонною)	tend
(скорою)	quick
(скромною)	modest
(скрытою)	secret
(скупою)	stingy
(скучною)	boring
(слабою)	weak
(славною)	glorious
(славянскою)	Slavonic
(сладкою)	sweet
(слизистою)	mucous
(словарною)	lexical
(словацкою)	Slovak
(сложною)	complicated
(слоновою)	elephantine
(служебною)	official
(слуховою)	auditory
(слышною)	audible
(смежною)	adjacent
(смелою)	bold
(смертельною)	mortal
(смертною)	mortal
(смешною)	ridiculous
(смутною)	troubled
(снежною)	snow
(собственною)	own
(совершенною)	perfect
(советскою)	Soviet
(совместною)	joint
(современною)	modern
(согласною)	agreeable
(соединенною)	united
(солдатскою)	soldier's
(солидною)	solid
(солнечною)	sun
(сомнительною)	doubtful
(сонною)	sleepy
(соответствующею)	proper
(соседнею)	neighbouring
(составною)	component
(состоятельною)	solvent
(социалистическою)	socialist
(социальною)	social
(сочною)	juicy
(специальною)	special
(специфическою)	specific
(сплошною)	continuous
(спокойною)	quiet
(спорною)	questionable
(спортивною)	sporting
(способною)	capable
(справедливою)	fair
(сравнительною)	comparative
(сталинскою)	stalinist
(стальною)	steel
(стандартною)	standard
(старинною)	antique
(старшею)	elder
(статистическою)	statistic
(стеклянною)	glass
(столичною)	capital
(странною)	strange
(страстною)	passionate
(стратегическою)	strategic
(страшною)	terrible
(стремительною)	swift
(строгою)	strict
(строительною)	building
(стройною)	slender
(судебною)	judicial
(сумасшедшею)	lunatic
(супружескою)	matrimonial
(суровою)	severe
(суточною)	daily
(сухою)	dry
(существенною)	essential
(существующею)	existing
(сущею)	real
(сходною)	similar
(сырою)	raw
(сытою)	satisfied
(тайною)	secret
(тайскою)	Thai
(таковою)	such
(талантливою)	gifted
(таможенною)	custom
(танцевальною)	dancing
(твердою)	hard
(творческою)	creative
(театральною)	theatre
(текущею)	current
(телефонною)	telephone
(темною)	dark
(теоретическою)	theoretical
(техническою)	technical
(технологическою)	technological
(типичною)	typical
(тихою)	quiet
(толстою)	thick
(тонкою)	thin
(торговою)	commercial
(торжественною)	solemn
(тощею)	emaciated
(традиционною)	traditional
(трезвою)	sober
(тройною)	threefold
(тропическою)	tropical
(труднодоступною)	difficult of access
(трудною)	difficult
(трудовою)	working
(туалетною)	toilet
(туркменскою)	Turkmen
(тщательною)	careful
(тяжелою)	heavy
(тяжкою)	heavy
(убитою)	depressed
(уважаемою)	respected
(уверенною)	assured
(увлекательною)	fascinating
(увлеченною)	carried away
(угловою)	angle
(уголовною)	criminal
(ударною)	strike
(удачною)	successful
(удивительною)	unbelievable
(удмуртскою)	Udmurt
(удобною)	comfortable
(удовлетворительною)	satisfactory
(ужасною)	terrible
(узбекскою)	Uzbek
(узкою)	narrow
(украинскою)	Ukrainian
(умелою)	able
(умеренною)	moderate
(умною)	smart
(университетскою)	university
(уникальною)	unique
(унылою)	sad
(упорною)	persistent
(упрямою)	obstinate
(уродливою)	deformed
(усатою)	with a big moustache
(условною)	conditional
(успешною)	successful
(усталою)	tired
(устною)	oral
(устойчивою)	sustained
(утреннею)	morning
(учебною)	educational
(уютною)	comfortable
(фактическою)	actual
(фантастическою)	fantastic nature
(фашистскою)	fascist
(федеральною)	federal
(федеративною)	federative
(фигурною)	figured
(физическою)	physical
(финансовою)	financial
(финскою)	Finnish
(фиолетовою)	violet
(французскою)	French
(фундаментальною)	fundamental
(хвостовою)	tail
(химическою)	chemical
(хитрою)	sly
(хищною)	predatory
(хлебною)	abundant
(хмурою)	gloomy
(хорошенькою)	pretty
(христианскою)	Christian
(хромою)	lame
(хроническою)	chronic
(хрупкою)	fragile
(художественною)	artistic
(худшею)	worse
(царскою)	royal
(ценною)	valuable
(центральною)	central
(цифровою)	digital
(чайною)	tea
(частною)	private
(частою)	frequent
(человеческою)	human
(чернокожею)	black
(честною)	honest
(четвертою)	fourth
(чеченскою)	Chechen
(чешскою)	Czech
(чистою)	clean
(чрезвычайною)	extraordinary
(чрезмерною)	excessive
(чувствительною)	sensible
(чудесною)	wonderful
(чужою)	stranger
(чукотскою)	Chukchi
(швейцарскою)	Swiss
(шестою)	sixth
(шикарною)	chic
(широкою)	wide
(школьною)	school
(шумною)	noisy
(щедрою)	generous
(щитовидною)	thyroid
(эволюционною)	evolutional
(экзотическою)	exotic
(экологическою)	ecological
(экономическою)	economic
(экспериментальною)	experimental
(экстренною)	special
(элегантною)	elegant
(электрическою)	electric
(электронною)	electronic
(элементарною)	elementary
(эмоциональною)	emotional
(энергичною)	energetic
(эротическою)	erotic
(эстетическою)	aesthetic
(этическою)	ethic
(этническою)	ethnic
(эфирною)	ether
(эффективною)	effective
(южною)	south
(юношескою)	youthful
(юною)	youthful
(юридическою)	juridical
(явною)	evident
(ядерною)	nuclear
(ядовитою)	poisonous
(языческою)	heathen
(японскою)	Japanese
(яркою)	bright
(ярою)	ardent
(ясною)	clear
*атлантическ	Atlantic
*атлантическа	Atlantic
*атлантическо	Atlantic
*балканск	Balkan
*балканска	Balkan
*балканско	Balkan
*баллистическ	ballistic
*баллистическа	ballistic
*баллистическо	ballistic
*бард	grainses
*бардам	grainses
*бардами	grainses
*бардах	grainses
*барды	grainses
*башкирск	Bashkir
*башкирска	Bashkir
*башкирско	Bashkir
*белорусск	Byelorussian
*белорусска	Byelorussian
*белорусско	Byelorussian
*берлинск	Berlin
*берлинска	Berlin
*берлинско	Berlin
*ближен	near
*болгарск	Bulgarian
*болгарска	Bulgarian
*болгарско	Bulgarian
*большевистск	Bolshevist
*большевистска	Bolshevist
*большевистско	Bolshevist
*ботаническ	botanical
*ботаническа	botanical
*ботаническо	botanical
*боярск	boyar
*боярска	boyar
*боярско	boyar
*бритей	shaves
*бритья	shaves
*бритьям	shaves
*бритьями	shaves
*бритьях	shaves
*бурятск	Buryat
*бурятска	Buryat
*бурятско	Buryat
*бухгалтерск	book-keeping
*бухгалтерска	book-keeping
*бухгалтерско	book-keeping
*важнейш	major
*важнейша	major
*важнейше	major
*величайш	the greatest
*величайша	the greatest
*величайше	the greatest
*венецианск	Venetian
*венецианска	Venetian
*венецианско	Venetian
*венск	Viennese
*венска	Viennese
*венско	Viennese
*внешен	outward
*внутри`политическ	of home policy
*внутри`политическа	of home policy
*внутри`политическо	of home policy
*воинск	military
*воинска	military
*воинско	military
*волжск	Volga
*волжска	Volga
*волжско	Volga
*воровств	stealings
*воровства	stealings
*воровствам	stealings
*воровствами	stealings
*воровствах	stealings
*вражеск	enemy
*вражеска	enemy
*вражеско	enemy
*вселенск	universal
*вселенска	universal
*вселенско	universal
*всероссийск	All-Russian
*всероссийска	All-Russian
*всероссийско	All-Russian
*всяческ	all kinds
*всяческа	all kinds
*всяческо	all kinds
*вулканическ	volcanic
*вулканическа	volcanic
*вулканическо	volcanic
*выдающася	remarkable
*выдающеся	remarkable
*выдающся	remarkable
*высочайш	highest
*высочайша	highest
*высочайше	highest
*высш	higher
*высша	higher
*высше	higher
*генетическ	genetic
*генетическа	genetic
*генетическо	genetic
*геометрическ	geometric
*геометрическа	geometric
*геометрическо	geometric
*героическ	heroic
*героическа	heroic
*героическо	heroic
*гидравлическ	hydraulic
*гидравлическа	hydraulic
*гидравлическо	hydraulic
*гидротехническ	hydrotechnical
*гидротехническа	hydrotechnical
*гидротехническо	hydrotechnical
*гипотетическ	hypothetic
*гипотетическа	hypothetic
*гипотетическо	hypothetic
*гитлеровск	Hitlerite
*гитлеровска	Hitlerite
*гитлеровско	Hitlerite
*дагестанск	Dagestan
*дагестанска	Dagestan
*дагестанско	Dagestan
*дворянск	nobility
*дворянска	nobility
*дворянско	nobility
*диагностическ	diagnostic
*диагностическа	diagnostic
*диагностическо	diagnostic
*динамическ	dynamic
*динамическа	dynamic
*динамическо	dynamic
*дипломатическ	diplomatic
*дипломатическа	diplomatic
*дипломатическо	diplomatic
*диспетчерск	dispatching
*диспетчерска	dispatching
*диспетчерско	dispatching
*добр	goods
*добра	goods
*добрам	goods
*добрами	goods
*добрах	goods
*добровольческ	voluntary
*добровольческа	voluntary
*добровольческо	voluntary
*докторск	doctorate
*докторска	doctorate
*докторско	doctorate
*домашен	house
*донецк	Donets
*донецка	Donets
*донецко	Donets
*дочерен	daughter
*драматическ	dramatic
*драматическа	dramatic
*драматическо	dramatic
*египетск	Egyptian
*египетска	Egyptian
*египетско	Egyptian
*журналистск	journalistic
*журналистска	journalistic
*журналистско	journalistic
*за`падноевропейск	west European
*за`падноевропейска	west European
*за`падноевропейско	west European
*забайкальск	Transbaikal
*забайкальска	Transbaikal
*забайкальско	Transbaikal
*завтрашен	tomorrow's
*зверей	wild beasts
*зверья	wild beasts
*зверьям	wild beasts
*зверьями	wild beasts
*зверьях	wild beasts
*здоровенен	brawny
*ивановск	Ivanovo
*ивановска	Ivanovo
*ивановско	Ivanovo
*идеологическ	ideological
*идеологическа	ideological
*идеологическо	ideological
*императорск	imperial
*императорска	imperial
*императорско	imperial
*исследовательск	research
*исследовательска	research
*исследовательско	research
*католическ	Catholic
*католическа	Catholic
*католическо	Catholic
*керамическ	ceramic
*керамическа	ceramic
*керамическо	ceramic
*климатическ	climatic
*климатическа	climatic
*климатическо	climatic
*колдовств	witchcrafts
*колдовства	witchcrafts
*колдовствам	witchcrafts
*колдовствами	witchcrafts
*колдовствах	witchcrafts
*консульск	consular
*консульска	consular
*консульско	consular
*косметическ	cosmetic
*косметическа	cosmetic
*косметическо	cosmetic
*костр	boons
*кострам	boons
*кострами	boons
*кострах	boons
*костры	boons
*кратчайш	shortest
*кратчайша	shortest
*кратчайше	shortest
*критическ	critical
*критическа	critical
*критическо	critical
*кубическ	cubic
*кубическа	cubic
*кубическо	cubic
*ладам	harmony concord
*ладами	harmony concord
*ладах	harmony concord
*ладов	harmony concord
*лады	harmony concord
*латышск	Lettish
*латышска	Lettish
*латышско	Lettish
*лирическ	lyric
*лирическа	lyric
*лирическо	lyric
*литей	castings
*литовск	Lithuanian
*литовска	Lithuanian
*литовско	Lithuanian
*литья	castings
*литьям	castings
*литьями	castings
*литьях	castings
*логическ	logical
*логическа	logical
*логическо	logical
*магическ	magic
*магическа	magic
*магическо	magic
*марксистск	marxist
*марксистска	marxist
*марксистско	marxist
*мастерств	handicrafts
*мастерства	handicrafts
*мастерствам	handicrafts
*мастерствами	handicrafts
*мастерствах	handicrafts
*математическ	mathematical
*математическа	mathematical
*математическо	mathematical
*ме`дно-красна	copper-coloured
*мельчайш	the smallest
*мельчайша	the smallest
*мельчайше	the smallest
*металлургическ	metallurgical
*металлургическа	metallurgical
*металлургическо	metallurgical
*метеорологическ	meteorological
*метеорологическа	meteorological
*метеорологическо	meteorological
*методическ	systematic
*методическа	systematic
*методическо	systematic
*методологическ	methodological
*методологическа	methodological
*методологическо	methodological
*миленек	pretty
*миленька	pretty
*миленько	pretty
*минувш	past
*минувша	past
*минувше	past
*миротворческ	peacemaking
*миротворческа	peacemaking
*миротворческо	peacemaking
*мистическ	mystic
*мистическа	mystic
*мистическо	mystic
*молдавск	Moldavian
*молдавска	Moldavian
*молдавско	Moldavian
*монастырск	monastic
*монастырска	monastic
*монастырско	monastic
*мордовск	Mordvinian
*мордовска	Mordvinian
*мордовско	Mordvinian
*мощам	powers
*мощами	powers
*мощах	powers
*мощей	powers
*мощи	powers
*мур	messes
*мурам	messes
*мурами	messes
*мурах	messes
*муры	messes
*мытей	washings
*мытья	washings
*мытьям	washings
*мытьями	washings
*мытьях	washings
*наибольш	the greatest
*наибольша	the greatest
*наибольше	the greatest
*наивысш	the highest
*наивысша	the highest
